id,filename,hypo
74,audio_74.wav,танцовский
75,audio_75.wav,подольба
76,audio_76.wav,танцузский
77,audio_77.wav,танцузский
78,audio_78.wav,а
79,audio_79.wav,танцовский
80,audio_80.wav,танцузский
81,audio_81.wav,парень
82,audio_82.wav,поставить
83,audio_83.wav,из
84,audio_84.wav,встречайте участниц национального конкурса «мисс россиятве тысячи двадцать три»
85,audio_85.wav,аппатический
86,audio_86.wav,иллюзина гелизовета двадцать лет до льяти
87,audio_87.wav,а вот и все
88,audio_88.wav,марлзова и катерина двадцать два года касаем
89,audio_89.wav,а вот и все
90,audio_90.wav,льева екатерина двадцать один год оренбургская область
91,audio_91.wav,а вот и все
92,audio_92.wav,а
93,audio_93.wav,а
94,audio_94.wav,двефремова елизавета девятнадцать лет тюменская область
95,audio_95.wav,подписаться на канал
96,audio_96.wav,алексина елизаведра 22 года пирабиджа
97,audio_97.wav,алиева марьянна двадцать два года республика дагестан
98,audio_98.wav,динамичная музыка
99,audio_99.wav,аппатический
100,audio_100.wav,а
101,audio_101.wav,захарчин качсинья двадцать два года краснодарский край
102,audio_102.wav,доставка
103,audio_103.wav,добро пожаловать на наш канал
104,audio_104.wav,сташ кевич александра восемнадцать лет тюмень
105,audio_105.wav,карибовакамилла двадцать два года нижникамск
106,audio_106.wav,антонова анастасия двадцать три года республика мариэлл
107,audio_107.wav,автор
108,audio_108.wav,здравствуйте – здравствуйте ну что
109,audio_109.wav,вы готовы к сеансу да готов что надо делать давайте
110,audio_110.wav,говорите слово просто в общем у меня девушка и вижу вижу
111,audio_111.wav,ох огненная девка ну давайте посмотрим что там за принцессу моего принца кто она
112,audio_112.wav,императрица… ее и зовут екатерина… но это шикарная красивая изобильная ресурсная женщина
113,audio_113.wav,что тебя в ней не устраивает а есть мне кто будет готовить просто сейчас все вокруг такие ресурсные а иногда просто хочется
114,audio_114.wav,термешок бахнет
115,audio_115.wav,ух ярослав ну женщина императрица понимаешь она для любви а не для обеда да он
116,audio_116.wav,ну это я анда к съедам
117,audio_117.wav,но я так и думала что это яндекс еда ну конечно доставайте телефончик прям сейчас надо скачивать ведь в яндекс еде есть все о чем только можно мечтать
118,audio_118.wav,это исчинает хинкали и горячая пицца ароматный плов и втро
119,audio_119.wav,вкусные бургеры там абсолютно все вкусы мира они вам и завтрак и обед и ужин привезут в расписание
120,audio_120.wav,а это что за знак что значит фиолетовая молния повышенного спроса
121,audio_121.wav,мы хороши здесь тебе подскажут не карты а просто вот мой жизненный опыт я делюсь магическим советом слушай чем ближе ресторан
122,audio_122.wav,тем дешевле будет доставка понимаешь да а если заказать самовывоз экономии еще больше но это же замечательно
123,audio_123.wav,о
124,audio_124.wav,ты такой глубокий и рафант но вы вообще не можете быть вместе и башния это разрушения ну нет но тебе нужна какаято женщина на таких более тонких матерях
125,audio_125.wav,знаешь это важноа вы после работы что делаете
126,audio_126.wav,хмхмхм
127,audio_127.wav,подписаться на наш канал
128,audio_128.wav,какой будет судьб мотор предсказания на мотор поехали
129,audio_129.wav,слушайте ну будет мотор один из сильных потому что все же знат какой мы знак сегодня рассматриваем
130,audio_130.wav,это классноэто легендарный выпуск уже о приорепочему
131,audio_131.wav,в том числе то есть очень много как бы есть и мифов связанных с этим знаком и какихто страхов вообще тайн
132,audio_132.wav,интересно же понять подтвердиться о провергницеда я помню царь скорпионовскала джонс
133,audio_133.wav,шоу в котором ведущие разбирают натальную карту гостя алеся в это очень сильно верит а дима очень сильно сомневается кто из них прав
134,audio_134.wav,решит гость отдав свой волшебный шар одной из сторон
135,audio_135.wav,а скорбион
136,audio_136.wav,стоа
137,audio_137.wav,а ты в биологию не веришь – сто она в туалете верит – ну ладно блин я короче полукровка
138,audio_138.wav,типа — вот это моя любимая кинокселенная — смотри я типа и не верю и не верю одновременно
139,audio_139.wav,я у меня до вас был психаналит это связь да нет и я и рассказываю что я иду и она мне говорит
140,audio_140.wav,ну что сейчас мы будем ире делать начальный расклад
141,audio_141.wav,— ты договорились
142,audio_142.wav,комментарий то хвалебныйа я вот кстати хочу сказать что у нас
143,audio_143.wav,очень добраяудитория да да добрая да и вам бог пожалуйста люди хоть здесь не засрите меня ну ну рыба ну что делать
144,audio_144.wav,ну живу с этим
145,audio_145.wav,так смотрю вопервых никогда мы на мужчину не кричим даже на картахдаспасибода
146,audio_146.wav,всем привет это шестнадцатый выпуск шел кстати со заматом хорламовым
147,audio_147.wav,я вот же нет тесту купил
148,audio_148.wav,как и мой мотоцикл тоже и мы сейчас ищем крестных для наших детей
149,audio_149.wav,дотянули
150,audio_150.wav,простор и он говорит все остановить все спрестигнись выдохни и просто вот сейчас просто возьми правый ногой нажми
151,audio_151.wav,педаль газа до конца
152,audio_152.wav,не надо не надо не надо да да да не надо не надо не надо вот такая вот… а с каких пор ты вообще скорость полюбилто на мотоцикле так вот это ты вообще испытываешь ну…
153,audio_153.wav,такие перегрузы от которых этот
154,audio_154.wav,но вообще я тебе скажу что конечно лицемер чистой воды просто
155,audio_155.wav,он тут меня распинал он распинался а как мне помочь российскому автопрову а что
156,audio_156.wav,живого места не оставило на своей репутации блять наши сборные с кем она сказала с кени с кени и двадва сыграла
157,audio_157.wav,с камеруном один ноль да да я просто нёча разбираюсь это круто или
158,audio_158.wav,но футбол я не знаю кстати там же мяч круглый поля ровная там надо смотреть
159,audio_159.wav,бессшумные убийца назвали словом ассасин ассасин
160,audio_160.wav,ладно все из позитивного что произошло
161,audio_161.wav,ну фика его знает
162,audio_162.wav,ну как бы там ни отчем рассказывать и он сейчас рассказывать не может
163,audio_163.wav,а слушайте вот новость
164,audio_164.wav,аплодисменты
165,audio_165.wav,оперок хочется поздравить от всей души – смешарики зимрождение – лосяш – да да да – не закругляйтесь – да да да
166,audio_166.wav,чтобы из наших детей не выросли такие ребята как денис дорохов который предлагает подрисовать
167,audio_167.wav,ну и вырастут такие умные парни как леш щербаков мы начинаем
168,audio_168.wav,а
169,audio_169.wav,а
170,audio_170.wav,друзья я позвал к нам сюда
171,audio_171.wav,по настоящему большого гости он старше тебя замат — так — да
172,audio_172.wav,он старше меня таких немного людей но старше и тебя денис поэтому
173,audio_173.wav,аплодисменты
174,audio_174.wav,наконецто и на меня бульдога на траве лет
175,audio_175.wav,это не название города это имя да
176,audio_176.wav,да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да да
177,audio_177.wav,а кто это а может быть вы к боярскому обратите чтоб к нам пришел всетаки потому что мы теперь боимся
178,audio_178.wav,права
179,audio_179.wav,значит денис смотри – если что вы мне напомните денис – денис запомни самое главное… – да – запомни что – для тебя
180,audio_180.wav,трижды лурят преминик а так не мой обращайся поин
181,audio_181.wav,история ничему не учит но наказывает занизнание ее уроков
182,audio_182.wav,эта фраза принадлежит василию ключевскому известному историку и профессору московского университета история не только помогает анализировать
183,audio_183.wav,процессы которые происходят сегодня мы в какомто смысле предугадывать будущее зная историю
184,audio_184.wav,можно хотя бы попытаться не повторять ошибок прошлого операясь на эти тезисы мы запускаем новый проект — «история россии»
185,audio_185.wav,героем нашего первого выпуска станет александр невский полководец который не потерпел ни одного поражения
186,audio_186.wav,политик который определил курс российского государства
187,audio_187.wav,на несколько столетий вперед
188,audio_188.wav,для начала давайте поговорим о том какой был оружь в тринадцатом веке
189,audio_189.wav,как вы можете видеть мы находимся в древнем городе вот так выглядели практически все крупные поселения на тот момент
190,audio_190.wav,никаких бизнесцентров вместо них оборонительные башни нет велодорожек никаких кофеин
191,audio_191.wav,и ресторанов только репа главный экономический и торговый центр — руси на тот момент
192,audio_192.wav,вовсе не москва а новорродская республикаона занимает огромную территорию от северного ледовита в океану до верховье в волге
193,audio_193.wav,управляет новгородом князь но в действительности вся власть сосредоточена в руках вечи и боя
194,audio_194.wav,именно они выбирают внязя а ниже могут его и изгнать
195,audio_195.wav,помимо всего прочего русь тринадцатого века раздроблена на множество княжеств которые все время враждуют между собой за сферы влияния
196,audio_196.wav,и вот в такой обстановке в 1221 году на свет появляется александр невский
197,audio_197.wav,с малых лет на александра сваливается груз ответственности
198,audio_198.wav,ему еще предстоит удержать власть в своих руках если вызовет конечно александр начинает править в новгороде в шестнадцать лет
199,audio_199.wav,и почти сразу сталкивается с первой серьезной опасностью — княжеству грозит нападение шведов
200,audio_200.wav,насильно обратить на вгородцев католичество для этого рыцарей сопровождают католические епископы
201,audio_201.wav,в июле тысяча двести сорокового шведская войска высаживается в воду
202,audio_202.wav,двустья реки не вы в районе и жоры
203,audio_203.wav,александр решает выступить немедленно и ударить пока шведы не ожидают нападения
204,audio_204.wav,но у бигера пять тысяч воинов
205,audio_205.wav,а у новгородского князя только его дружинаалександр созывает народное ополчение и вскоре собирает под свои знамена полторы…
206,audio_206.wav,шведов все еще больше но проблема даже не в этом бигер опытный закаленный в боях воин
207,audio_207.wav,у себя на родине он не менее известен чем александр невский в россии именно бюргер основал стакгольм
208,audio_208.wav,и сегодня самая длинная улица шведской столицы названа в его честь александр хоть и участвовал в сражениях но еще никак не
209,audio_209.wav,но когда нивел войска на битву для него предстоящий бой — это еще и личный вызов
210,audio_210.wav,пятнадцатого июля войска новгородцев нападает на шведов сразу с трех направлений
211,audio_211.wav,боярин гаврила алексич верхом на коне прямо по сходням въезжает на порт шведской ладии и начинает
212,audio_212.wav,он выбирается на берег и продолжает бой один из русских воинов пробирается в шатер
213,audio_213.wav,биргера и подрубает опоры распорчный шатер — один из символов власти ярла
214,audio_214.wav,падает на землю его втаптывают в грязьсражение продолжается везти
215,audio_215.wav,и к вечеру бергер окончательно понимает что проиграл
216,audio_216.wav,после этой победы к князь александр получает
217,audio_217.wav,розвища невскийпомимо шведов у руси есть еще один противник
218,audio_218.wav,ливонский орден
219,audio_219.wav,летом тысяча двести сорокового рыцари идут в поход на рус занимают изборск затем песков
220,audio_220.wav,их следующая цель — нокера
221,audio_221.wav,удивительно но даже зная о приближении противника новгородские бояри изгоняют александра нерского
222,audio_222.wav,почему после победы на шведами влияние князя возросло бояре опасаются дальнейшего усиления его власти
223,audio_223.wav,бояри посылают князю ганцов и умаляют вернуться
224,audio_224.wav,с третьего раза александр соглашаетсяон собирает силы и выбивает левонцев
225,audio_225.wav,но главная битва с крестоносами еще впереди она пройдет пятого апреля 1242 года на чудском озере
226,audio_226.wav,историки до сих пор спорят о численности армии которые сослез на льду озера одни говорят о пятнадцати тысячах русских и десяти
227,audio_227.wav,александр выстраивает своих воинов прямо на льду озера
228,audio_228.wav,в центре князь ставит лучник с фланга в конницу за спиной русского войска выстроены баррикады и забозов
229,audio_229.wav,заграждения должны помешать рыцарям выбраться на берег
230,audio_230.wav,кристоносцы наступают свинилой так на руси называют боевой порядок в форме тупоконечного клина
231,audio_231.wav,тогда александр приказывает конницы обойти ливонцев с флангов и взять их в клещ заметит что главные силы орденов
232,audio_232.wav,попали в ламужку вспомогательный отряд крестоносцев ускается в бельство
233,audio_233.wav,опасность угрожает руси не только запада но и свастока в тысяча двести тридцать седьмом на страну
234,audio_234.wav,чернигов и киев отец александра великий князь владимирский ярослав отправляется в сарай столицу золотой орды
235,audio_235.wav,и первым из русских князей просит у батыя ярлык на княжение
236,audio_236.wav,ерлык — это ханская грамота которая подтверждает
237,audio_237.wav,полномочия князя баты одобряет кандидатуру ярослава но отправляет князя в столицу монгольской империи
238,audio_238.wav,герлык на княжене он получит там из рук великого хана ярослав едет в столицу встречается с ханом
239,audio_239.wav,но внезапно умирает на обратном пути судя по всему мангола его
240,audio_240.wav,отравили настает
241,audio_241.wav,очередь невского нанести визит велика мухану
242,audio_242.wav,но сначала он решает оттуда
243,audio_243.wav,привыше всего манголы ценят воинскую добрость поэтому разбивший шведов русский князь вызывает ухану уважения
244,audio_244.wav,по приказу батыя александру подносят чашу кумыса
245,audio_245.wav,выпить кумы со с ханом — великая честь но если не осушить чашу дотна можно нанести хану огромное оскорбление
246,audio_246.wav,заплатить за него скорее всего придется жизнь а по легенде чаша просто огромная боты внимательно следит за русским князем
247,audio_247.wav,а силит ли не поморщится
248,audio_248.wav,александр допивает чашу до конца с этого момента хан начинает ему покровительствовать по легенде
249,audio_249.wav,александр невский и вовсе стал ботыю приемным сыном русский князь якобы побротался с наследником хана с артаком
250,audio_250.wav,подружиться с коризматичным княжемдальнейший путневского лежит в монгольскую столицу
251,audio_251.wav,отботы и путь в пять
252,audio_252.wav,и пока князь с младшим братом андреем добираются до города правитель империи умирает
253,audio_253.wav,теперь влазь сосредоточена в руках его вдовы
254,audio_254.wav,а
255,audio_255.wav,эй
256,audio_256.wav,это второй сезон первого онлайншоу «провузы»
257,audio_257.wav,в этом сезоне мы собрали целую команду пять популярных блогеров чтобы проверить университета россии
258,audio_258.wav,что скрывается за дорогими лабораториями
259,audio_259.wav,человек с высшим историческим образованием антон он уже прошел этот путь и точно знает как правильно сочетать студенческий быт
260,audio_260.wav,и науку — вузы готовы к нетрадиционному взгляду на них
261,audio_261.wav,проверим зачет или перездача врываемся в новый сезон пристегнитесь мы не намерены останавливаться по дороге
262,audio_262.wav,динамичная музыка
263,audio_263.wav,а
264,audio_264.wav,я рад тебя видетья тебя тоже антонсуперсережкиспасибовсем привет ревузор снова с вами
265,audio_265.wav,у нас много нового теперь целая команда но доверить начать этот сезон мы решили старичка
266,audio_266.wav,антон это сейчас про кого былто ну ладно на самом деле я соскучилась а ты а вы
267,audio_267.wav,у нас на путей
268,audio_268.wav,главный вуса — российской ядерной энергетики один из немногих сочетающих к себе фундаментальную физику и инженерию это важноантон
269,audio_269.wav,инженеры и физики ждут нас
270,audio_270.wav,я бы не был так уверен но всетаки я подготовил список главных локаций по ней мы и отправимся тебе осталось только переодеться ты же толстовку взяла
271,audio_271.wav,ну конечно взяла я пойдем пойдем
272,audio_272.wav,нет это не тайное заклинание или приветствие на корейском это расшифруется как национальный и исследовательский ядерный университет
273,audio_273.wav,московский инженернофизический институт факт первый
274,audio_274.wav,это один из первых двух национальных исследовательских университетов россии
275,audio_275.wav,он ведет историю с 1942 года интересно что первые занятия тут начались первого января сорок третьего
276,audio_276.wav,да уж а современных студентов не то что первого к первой не всегда соберешь
277,audio_277.wav,факт второй инфа для любителей считать шаги комплекс вуза — это пятьдесят семь зданий и сооружений он занимает территорию в девятнадцать гектаров
278,audio_278.wav,общая площадь учебных и исследовательских корпусов составляет более девяносто шести тысяч квадратных метров и это только московский кампус
279,audio_279.wav,факт третий шесть сотрудников и преподаватели мефи получили нобелевскую премию круто это всетаки побольше чем повышенные степеньки
280,audio_280.wav,факт четвертый
281,audio_281.wav,уже ищешь в поиске сколько баллов нужно набрать для поступления не спеши мы все расскажем
282,audio_282.wav,средний балл для прохождения на бюджет в две тысячи двадцать третьем году девяносто три балла
283,audio_283.wav,при этом минимальный и средний бал чуть больше восемьдесят семьи баллов в институте финансовых технологий и экономической безопасности
284,audio_284.wav,сложнее всего поступить в институт международных отношений — здесь средний бал достигает почти сто баллов для профильных направлений средние балы такие
285,audio_285.wav,факт пятый
286,audio_286.wav,подписаться на канал
287,audio_287.wav,кстати мефия находится на восемнадцатом месте в медиарейтинге «узов россии» по информации на август две тысячи двадцать третьего года
288,audio_288.wav,вы как там
289,audio_289.wav,расгоняем частицы арина может со студентов начнем
290,audio_290.wav,ребят привет привет как тебя зовут сколько тебе лет на кого учишься привет я миша
291,audio_291.wav,пришёл второй курс успешно недавно сессию закрыл со средними оценками потому что немножко был раздолбаем под конец года — но потом собрался — потом собрался и я учусь на
292,audio_292.wav,безопасника безопасная безопасность мы готовимся к поступлению в этот лос я учусь на сороктору кайфа для информационной безопасности почему ты выбрала именно мефи
293,audio_293.wav,вопервых это очень престижная университета а вовторых здесь есть направление экономической безопасности
294,audio_294.wav,да поступить трудно но как говорится чем труднее поступить значит тем лучше будет образованиеа подготовительное обучение оно платное бесплатное бесплатное
295,audio_295.wav,технические науки хорошо изучаются а даже если учиться какихнибудь гуманитарных узок все равно в будущем в профессии понадобится знание всех этих
296,audio_296.wav,у нас есть реактор и это главный фактор
297,audio_297.wav,а
298,audio_298.wav,дем идем идем привет – привет – ждал нас – да – а может без предупреждения как так – ну я догадывался что приду посмотреть
299,audio_299.wav,скажите нам теперь что здесь делают что здесь происходит ну вот у вас на экране находится сейчас цифровой
300,audio_300.wav,сровая копия реактора и рт мифин
301,audio_301.wav,то есть как есть автомобильные…
302,audio_302.wav,симуляторы обучения самолеты симуляторы обучения такой же есть ядерный все правильно окей симуляторы это понятно а какие еще там возможности применения для чего это
303,audio_303.wav,ну также есть возможность проведения виртуальных экспериментов лабораторных работ для студентов и в целом развития
304,audio_304.wav,виртуальных технологий с точки зрения ядерной физикиа можно попробоватьконечно
305,audio_305.wav,вперед— смотрите у вас есть вот под большим пальцем
306,audio_306.wav,танцовский
307,audio_307.wav,ага
308,audio_308.wav,эх орина рина приходи на перездачу
309,audio_309.wav,до
310,audio_310.wav,живешь в общаге или ездишь из дома а я живу в общаге на улице кошкина
311,audio_311.wav,шик будет
312,audio_312.wav,а тараканы есть конечно есть в связи естьуровень жизни в общежитии на среднем какомто показательном ходит здание так или иначе старое оно я думаю готовшееся десятых застройки
313,audio_313.wav,но сейчас есть новое общежитие куда хочется попробовать также отобраться
314,audio_314.wav,не иметь дисциплинарных засканий
315,audio_315.wav,общежитие — это больше не про какието условия там всё такое это про атмосферу
316,audio_316.wav,у вас контингентпредподаватель и взрослый или всетаки более молодой — зависит от кафедры
317,audio_317.wav,а вы ребят кто собирается поступать смотрите обязательный ревузор и выбирайте вуз
318,audio_318.wav,без идеального совпадения не сложится идеальная картинка
319,audio_319.wav,привет я саша мне двадцать один год скоро я оканчиваю институт и всю свою сознательную жизнь я помогаю людям
320,audio_320.wav,родители меня так воспитали что для меня это не какоето героиство а норма жизни я много работал волонтером на разных мероприятиях
321,audio_321.wav,спортивные турниры конференции в библиотеках танцы в
322,audio_322.wav,и многие другие добрые дела для меня лучший стимул продолжать творить добро — это радостные эмоции
323,audio_323.wav,и счастливые глаза людей которым я смог помочь я сагитировал многих своих друзей продолжать творить эту цепочку добра
324,audio_324.wav,потому что я абсолютно уверен что добро возвращается
325,audio_325.wav,недавно я наткнулся на информацию о том что можно стать донором косного мозга я никогда ничего об этом не слышал
326,audio_326.wav,и вот решил узнать
327,audio_327.wav,костный мозг не берут из позвоночника до нации косного мозга и легимопатических столов клета крови существуют два способа первый способ —
328,audio_328.wav,это способ афереза
329,audio_329.wav,и представляет он из себя как банальную сдачу
330,audio_330.wav,крови или трампоцитов или плазмы то есть какихто компонентов крови но для того чтобы клетки гемополитические словы клетки крови
331,audio_331.wav,оказались непосредственно в крови перед этой процедурой донору будут водить специальный препарат который поможет просто выйти этим гимнополитическисуставым пледкам
332,audio_332.wav,как правило метата фереза применяется в настоящее время в большинстве случаев практически девяносто пять минут
333,audio_333.wav,путем прокола тазовых костей и забора непосредственного костного мозга из тазовых костей конечно же это процедура
334,audio_334.wav,проводится в условиях операционной предварительно с донором будет общаться не только…
335,audio_335.wav,гематолог трансфузиолог который будет проводить экскурсию косного мозга
336,audio_336.wav,и также врачанастазиолог который подберет конкретно для этого донора определенный…
337,audio_337.wav,— вовремя донации донор данирует меньше одного процента от всех гемополитических столовых клеток крови
338,audio_338.wav,практически безболезненная и на текущий момент неопасная процедура поскольку в настоящее время мы знаем все возможные побочные эффекты от того или иного
339,audio_339.wav,применяем его лекарственного средства или метода лечения
340,audio_340.wav,и мы предотвращаем все возможные последствия все доноры проходят
341,audio_341.wav,комплексное обследование перед процедурой донатса и конечно же для нас очень важно чтобы донор был полностью здоров чтобы быть…
342,audio_342.wav,понести уверенным что мы не навредим
343,audio_343.wav,какихто трамбозов мы забираем крайне малое количество гемополитически столовых клеток крови буквально один процент от всех
344,audio_344.wav,крови которые находятся в организме донора в организме человека то восстановление происходит за…
345,audio_345.wav,буквально дветри недели законодательно донор может отказаться на любом этапе от проведения до нации но
346,audio_346.wav,каждый донор который вступил в регистр должен понимать о том что когда ему позвонили и сказали что вы подходите для катареи
347,audio_347.wav,и
348,audio_348.wav,конечно же пациенты — это люди которые страдают анкологическими и онкогематологическими заболеваниями
349,audio_349.wav,для них появляется огромная надежда на спасение на то что они…
350,audio_350.wav,будут живы после транспонтации человек который вступил в регистр доноров костного мозга должен одержать постоянный контакт с регистром если он вдруг уменяет свои…
351,audio_351.wav,контактные данные поскольку ему могут не звонить длительное время
352,audio_352.wav,также донору необходимо понимать о том что…
353,audio_353.wav,он должен будет в конечном счете задействовать свое личное время свое состояние свое настроение для того чтобы пройти в дальнейшем
354,audio_354.wav,подтверждающее типирование пройти обследование в конечном счете до нации может спасти жизнь пациента
355,audio_355.wav,принято считать что об логих делах не говорят но если о них не говорить то
356,audio_356.wav,как вдохновить других на чтото хорош
357,audio_357.wav,тем больше людей будет спасено в ваших руках сделать выбор в пользу добра сдать кровь на дипирование — это шанс для каждого из нас помочь тому кто не будет
358,audio_358.wav,кто в этом понастоящему нуждается
359,audio_359.wav,а обмануть нас сделать вид что они настоящие дойти до финала и победить в этом челленде
360,audio_360.wav,и нам придется оставить его на каналевсем привет дорогие клоуны у нас для вас куча вопреки
361,audio_361.wav,интересно мне кажется этот клоун чтото скрываетэто точно не клоунпарни внимание номер двая не умею считать
362,audio_362.wav,наш хром в такте ответил троща бред
363,audio_363.wav,семь раз потому что семь не неделю – посложно – похож похож – номер четыре – ровно семь с половиной раз
364,audio_364.wav,здоровный семь с половиной нас как будто тоже ну вообще не наш варик или возможно или не наш чтобы крест нем не ставить пока вот сюда его поставим
365,audio_365.wav,мне кажется в рейне пятиребятки вы плохо осмотрели наши выпуски опять – четынадцать
366,audio_366.wav,ровно три раза — сказал хорошо уверенно но цифр ошибся ну возможно но на самом последнем месте — вот так вот пока вот так — вот он здесь на границе — пятнадцать
